pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None,11.93,44.89, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 13:00:00, None,21
None,11.74,40.73, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 14:00:00, None,21
None,11.97,37.87, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 15:00:00, None,21
None,12.49,42.39, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 16:00:00, None,21
None,12.83,41.15, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 17:00:00, None,21
None,13.01,40.73, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 18:00:00, None,21
None,11.98,47.71, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 19:00:00, None,21
None,12.11,48.02, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 20:00:00, None,21
None,9.59,57.38, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 21:00:00, None,21
None,8.88,43.66, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 22:00:00, None,21
None,8.71,43.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-26 23:00:00, None,21
