AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
7.9, None, None, 612.1,2023-05-17 04:00:00, 108.0, None,20
8.5, None, None, 549.0,2023-05-17 04:15:00, 107.0, None,20
8.6, None, None, 548.9,2023-05-17 04:30:00, 107.0, None,20
8.7, None, None, 611.3,2023-05-17 04:45:00, 107.0, None,20
8.7, None, None, 611.1,2023-05-17 05:00:00, 107.0, None,20
9.0, None, None, 548.4,2023-05-17 05:15:00, 107.0, None,20
9.6, None, None, 548.1,2023-05-17 05:30:00, 107.0, None,20
9.7, None, None, 610.1,2023-05-17 05:45:00, 106.0, None,20
9.5, None, None, 609.9,2023-05-17 06:00:00, 106.0, None,20
9.8, None, None, 609.5,2023-05-17 06:15:00, 106.0, None,20
9.5, None, None, 547.0,2023-05-17 06:30:00, 106.0, None,20
9.4, None, None, 546.7,2023-05-17 06:45:00, 106.0, None,20
10.2, None, None, 546.4,2023-05-17 07:00:00, 106.0, None,20
10.2, None, None, 608.2,2023-05-17 07:15:00, 106.0, None,20
10.5, None, None, 545.8,2023-05-17 07:30:00, 106.0, None,20
10.6, None, None, 607.6,2023-05-17 07:45:00, 106.0, None,20
10.6, None, None, 607.4,2023-05-17 08:00:00, 106.0, None,20
11.1, None, None, 545.2,2023-05-17 08:15:00, 105.0, None,20
11.0, None, None, 606.8,2023-05-17 08:30:00, 105.0, None,20
11.1, None, None, 544.7,2023-05-17 08:45:00, 104.0, None,20
11.5, None, None, 544.5,2023-05-17 09:00:00, 105.0, None,20
11.9, None, None, 605.9,2023-05-17 09:15:00, 105.0, None,20
12.5, None, None, 605.8,2023-05-17 09:30:00, 104.0, None,20
11.9, None, None, 605.8,2023-05-17 09:45:00, 104.0, None,20
12.4, None, None, 543.8,2023-05-17 10:00:00, 103.0, None,20
12.6, None, None, 543.7,2023-05-17 10:15:00, 103.0, None,20
14.0, None, None, 605.1,2023-05-17 10:30:00, 102.0, None,20
13.7, None, None, 605.0,2023-05-17 10:45:00, 102.0, None,20
12.6, None, None, 543.4,2023-05-17 11:00:00, 103.0, None,20
13.6, None, None, 543.1,2023-05-17 11:15:00, 102.0, None,20
13.6, None, None, 542.9,2023-05-17 11:30:00, 103.0, None,20
13.5, None, None, 604.1,2023-05-17 11:45:00, 102.0, None,20
14.0, None, None, 542.3,2023-05-17 12:00:00, 102.0, None,20
13.8, None, None, 542.0,2023-05-17 12:15:00, 102.0, None,20
14.6, None, None, 541.6,2023-05-17 12:30:00, 101.0, None,20
15.8, None, None, 541.4,2023-05-17 12:45:00, 101.0, None,20
15.5, None, None, 540.9,2023-05-17 13:00:00, 102.0, None,20
15.4, None, None, 540.4,2023-05-17 13:15:00, 101.0, None,20
15.3, None, None, 539.6,2023-05-17 13:30:00, 100.0, None,20
None, None, None, 599.8,2023-05-17 13:37:00, None, None,20
16.1, None, None, 538.7,2023-05-17 13:45:00, 100.0, None,20
15.0, None, None, 537.9,2023-05-17 14:00:00, 101.0, None,20
14.9, None, None, 597.7,2023-05-17 14:15:00, 102.0, None,20
15.2, None, None, 536.4,2023-05-17 14:30:00, 101.0, None,20
15.9, None, None, 595.6,2023-05-17 14:45:00, 100.0, None,20
16.8, None, None, 534.6,2023-05-17 15:00:00, 100.0, None,20
15.5, None, None, 594.0,2023-05-17 15:15:00, 100.0, None,20
15.6, None, None, 593.2,2023-05-17 15:30:00, 100.0, None,20
15.5, None, None, 592.4,2023-05-17 15:45:00, 100.0, None,20
16.0, None, None, 532.4,2023-05-17 16:00:00, 100.0, None,20
15.1, None, None, 532.1,2023-05-17 16:15:00, 100.0, None,20
15.8, None, None, 590.6,2023-05-17 16:30:00, 99.0, None,20
14.7, None, None, 531.0,2023-05-17 16:45:00, 100.0, None,20
14.6, None, None, 589.5,2023-05-17 17:00:00, 100.0, None,20
15.0, None, None, 530.0,2023-05-17 17:15:00, 100.0, None,20
15.2, None, None, 529.4,2023-05-17 17:30:00, 100.0, None,20
14.4, None, None, 587.5,2023-05-17 17:45:00, 100.0, None,20
14.4, None, None, 586.9,2023-05-17 18:00:00, 100.0, None,20
14.0, None, None, 528.0,2023-05-17 18:15:00, 100.0, None,20
13.5, None, None, 585.9,2023-05-17 18:30:00, 100.0, None,20
13.3, None, None, 585.6,2023-05-17 18:45:00, 100.0, None,20
12.5, None, None, 585.2,2023-05-17 19:00:00, 100.0, None,20
12.4, None, None, 584.7,2023-05-17 19:15:00, 100.0, None,20
12.3, None, None, 584.4,2023-05-17 19:30:00, 100.0, None,20
12.3, None, None, 525.9,2023-05-17 19:45:00, 100.0, None,20
12.1, None, None, 525.7,2023-05-17 20:00:00, 100.0, None,20
12.4, None, None, 525.3,2023-05-17 20:15:00, 100.0, None,20
12.2, None, None, 583.1,2023-05-17 20:30:00, 100.0, None,20
12.1, None, None, 582.6,2023-05-17 20:45:00, 99.0, None,20
12.2, None, None, 582.3,2023-05-17 21:00:00, 99.0, None,20
11.3, None, None, 524.3,2023-05-17 21:15:00, 99.0, None,20
11.3, None, None, 524.8,2023-05-17 21:30:00, 99.0, None,20
11.1, None, None, 581.7,2023-05-17 21:45:00, 100.0, None,20
10.2, None, None, 524.0,2023-05-17 22:00:00, 99.0, None,20
9.5, None, None, 524.0,2023-05-17 22:15:00, 99.0, None,20
10.4, None, None, 581.6,2023-05-17 22:30:00, 100.0, None,20
9.6, None, None, 581.4,2023-05-17 22:45:00, 99.0, None,20
9.8, None, None, 523.4,2023-05-17 23:00:00, 99.0, None,20
9.9, None, None, 580.8,2023-05-17 23:15:00, 99.0, None,20
9.7, None, None, 580.4,2023-05-17 23:30:00, 99.0, None,20
9.9, None, None, 522.5,2023-05-17 23:45:00, 98.0, None,20
9.8, 1.6, 7.4, 579.8,2023-05-18 00:00:00, 98.0, 17.2,20
10.2, None, None, 579.6,2023-05-18 00:15:00, 98.0, None,20
9.5, None, None, 579.1,2023-05-18 00:30:00, 98.0, None,20
10.3, None, None, 578.7,2023-05-18 00:45:00, 98.0, None,20
