X,Y,Name,CAUSE GENERAL,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-124.560533722238,54.5775049065022,G50052,Person,0.8,G50052,Fire,2017,2017,54.577499,-124.560516
-124.043783954095,54.3515223770357,G52235,,0.008,G52235,Fire,2017,2017,54.351517,-124.043767
-125.449718256837,56.2224388223442,G61926,Person,0,G61926,Fire,2017,2017,56.222433,-125.4497
-123.088266680453,55.3252545211061,G62005,Person,0.009,G62005,Fire,2017,2017,55.325249,-123.088249
-122.854385700205,58.6517059235639,G90194,Lightning,0.009,G90194,Fire,2017,2017,58.6517,-122.854367
-118.987785355776,51.4487060990961,K10827,Lightning,0.3,K10827,Fire,2017,2017,51.4487,-118.98777
-120.959717005723,50.7577573305103,K20142,Person,0.35,K20142,Fire,2017,2017,50.757751,-120.959701
-120.570465147577,50.4764882639134,K21034,Person,0.1,K21034,Fire,2017,2017,50.476482,-120.57045
-119.757514892478,50.7515051713213,K21269,Person,0.009,K21269,Fire,2017,2017,50.751499,-119.7575
-120.284698799231,51.4472906458995,K21335,Lightning,0.009,K21335,Fire,2017,2017,51.447285,-120.284683
-118.835998466943,51.2307229032526,K31261,Lightning,0.2,K31261,Fire,2017,2017,51.230717,-118.835983
-119.597434985239,50.8500388987439,K31882,Lightning,0.009,K31882,Fire,2017,2017,50.850033,-119.59742
-119.681281883868,50.4212057606877,K40867,Lightning,0.6,K40867,Fire,2017,2017,50.4212,-119.681267
-119.790084625854,50.139772637981,K51197,Lightning,1,K51197,Fire,2017,2017,50.139767,-119.79007
-121.063331329704,49.0095234289823,V10965,Person,0.009,V10965,Fire,2017,2017,49.009518,-121.063316
-122.682182361962,50.3041057067243,V32345,Person,4,V32345,Fire,2017,2017,50.3041,-122.682167
-123.590835586513,48.3986566159576,V61033,Person,0.009,V61033,Fire,2017,2017,48.398651,-123.59082
-123.867485163466,48.919439005272,V62288,Person,0.3,V62288,Fire,2017,2017,48.919433,-123.86747
-123.952682543991,48.4204727719183,V62309,Person,40.4,V62309,Fire,2017,2017,48.420467,-123.952667
-125.325531704366,50.053056276833,V80169,Person,0.3,V80169,Fire,2017,2017,50.053051,-125.325516
-126.380867836939,49.9921392482696,V92077,Lightning,0.2,V92077,Fire,2017,2017,49.992134,-126.380852
-126.297165776557,50.1555380672787,V92116,Lightning,0.1,V92116,Fire,2017,2017,50.155533,-126.29715
-126.148251250098,55.2456554080288,R20908,Lightning,0.2,R20908,Fire,2017,2017,55.24565,-126.148233
-127.246934624718,54.8058719473042,R30206,Lightning,0.009,R30206,Fire,2017,2017,54.805867,-127.246917
-127.230534605968,54.7584552502509,R30219,Lightning,0.009,R30219,Fire,2017,2017,54.75845,-127.230517
-127.708784957732,55.4225218925708,R40026,Person,0.1,R40026,Fire,2017,2017,55.422517,-127.708767
-130.07008631118,57.6244215703813,R90067,Person,0.5,R90067,Fire,2017,2017,57.624417,-130.070067
-129.283603714574,59.3065882797549,R90223,Person,0.5,R90223,Fire,2017,2017,59.306583,-129.283583
-121.156733213249,53.7277893306259,G10674,Lightning,0.002,G10674,Fire,2017,2017,53.727783,-121.156717
-123.99160176817,53.9064882686873,G40927,Person,0,G40927,Fire,2017,2017,53.906483,-123.991585
