station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 1.1, 2016-08-31 00:00:00, 12.5, 24.6
None, 1.4, 2016-09-01 00:00:00, 11.6, 16.2
None, 4.1, 2016-09-02 00:00:00, 9.8, 13.2
None, 0.3, 2016-09-03 00:00:00, 8.9, 15.9
None, 0.6, 2016-09-04 00:00:00, 8.7, 15.6
None, 0.0, 2016-09-05 00:00:00, 7.8, 16.1
None, 0.0, 2016-09-06 00:00:00, 9.3, 13.9
None, 6.5, 2016-09-07 00:00:00, 9.1, 14.8
None, 4.8, 2016-09-08 00:00:00, 8.3, 16.5
None, 0.0, 2016-09-09 00:00:00, 9.3, 13.5
None, 8.8, 2016-09-10 00:00:00, 8.4, 14.3
None, 0.1, 2016-09-11 00:00:00, 5.3, 14.9
None, 0.6, 2016-09-12 00:00:00, 3.6, 18.3
None, 0.0, 2016-09-13 00:00:00, 4.6, 19.4
None, 0.0, 2016-09-14 00:00:00, 6.8, 16.3
None, 0.0, 2016-09-15 00:00:00, 8.5, 21.7
None, 4.7, 2016-09-16 00:00:00, 9.5, 22.8
None, 14.3, 2016-09-17 00:00:00, 8.8, 12.8
None, 1.1, 2016-09-18 00:00:00, 5.6, 12.6
None, 5.6, 2016-09-19 00:00:00, 5.7, 10.9
None, 8.9, 2016-09-20 00:00:00, 5.3, 13.0
None, 0.0, 2016-09-21 00:00:00, 5.0, 17.3
None, 0.0, 2016-09-22 00:00:00, 5.1, 12.4
None, 0.7, 2016-09-23 00:00:00, 8.4, 12.0
None, 0.0, 2016-09-24 00:00:00, 7.6, 17.1
None, 0.0, 2016-09-25 00:00:00, 7.2, 11.2
None, 8.7, 2016-09-26 00:00:00, 7.5, 18.2
None, 7.2, 2016-09-27 00:00:00, 5.9, 17.1
None, 0.0, 2016-09-28 00:00:00, 4.8, 15.0
None, 0.2, 2016-09-29 00:00:00, 5.4, 13.6
None, 3.3, 2016-09-30 00:00:00, 8.7, 13.0
None, 14.5, 2016-10-01 00:00:00, 6.4, 11.2
None, 0.9, 2016-10-02 00:00:00, 3.6, 11.9
None, 0.0, 2016-10-03 00:00:00, 2.8, 12.9
None, 0.0, 2016-10-04 00:00:00, 5.5, 10.4
None, 0.0, 2016-10-05 00:00:00, 5.8, 12.1
None, 0.0, 2016-10-06 00:00:00, 5.9, 12.1
None, 13.1, 2016-10-07 00:00:00, 6.2, 8.3
None, 16.3, 2016-10-08 00:00:00, 4.6, 7.6
None, 5.2, 2016-10-09 00:00:00, 3.5, 10.8
None, 0.0, 2016-10-10 00:00:00, 2.5, 7.5
None, 0.0, 2016-10-11 00:00:00, -0.3, 9.1
None, 0.2, 2016-10-12 00:00:00, -0.7, 10.4
None, 6.6, 2016-10-13 00:00:00, 2.3, 3.4
None, 24.5, 2016-10-14 00:00:00, 2.3, 5.2
None, 13.8, 2016-10-15 00:00:00, 5.1, 8.3
None, 3.0, 2016-10-16 00:00:00, 5.5, 8.3
None, 0.1, 2016-10-17 00:00:00, 5.5, 10.0
None, 3.8, 2016-10-18 00:00:00, 5.4, 7.7
None, 0.2, 2016-10-19 00:00:00, 4.8, 8.4
None, 25.0, 2016-10-20 00:00:00, 2.9, 5.4
None, 0.0, 2016-10-21 00:00:00, 2.6, 10.2
None, 1.5, 2016-10-22 00:00:00, 3.4, 8.0
None, 0.0, 2016-10-23 00:00:00, 3.3, 7.1
None, 0.0, 2016-10-24 00:00:00, 3.9, 6.4
None, 6.2, 2016-10-25 00:00:00, 5.1, 9.0
None, 2.8, 2016-10-26 00:00:00, 5.2, 6.0
None, 10.0, 2016-10-27 00:00:00, 3.9, 6.3
None, 0.1, 2016-10-28 00:00:00, 5.2, 9.0
None, 0.0, 2016-10-29 00:00:00, 4.9, 7.9
None, 0.3, 2016-10-30 00:00:00, 2.3, 12.5
None, 6.7, 2016-10-31 00:00:00, 2.3, 5.7
None, 5.0, 2016-11-01 00:00:00, 3.6, 6.0
None, 7.6, 2016-11-02 00:00:00, 5.0, 7.9
None, 2.7, 2016-11-03 00:00:00, 6.5, 9.9
None, 0.0, 2016-11-04 00:00:00, 5.4, 9.2
None, 7.1, 2016-11-05 00:00:00, 5.9, 7.8
None, 9.1, 2016-11-06 00:00:00, 5.5, 9.8
None, 0.0, 2016-11-07 00:00:00, 5.4, 7.6
None, 0.2, 2016-11-08 00:00:00, 6.4, 12.9
None, 6.3, 2016-11-09 00:00:00, 6.8, 8.0
None, 0.0, 2016-11-10 00:00:00, 6.6, 10.3
None, 0.0, 2016-11-11 00:00:00, 6.2, 7.9
None, 16.2, 2016-11-12 00:00:00, 5.6, 6.6
None, 7.1, 2016-11-13 00:00:00, 5.8, 8.1
None, 6.7, 2016-11-14 00:00:00, 3.0, 8.5
None, 8.6, 2016-11-15 00:00:00, 2.5, 3.6
None, 0.1, 2016-11-16 00:00:00, 1.1, 5.8
None, 0.1, 2016-11-17 00:00:00, -0.1, 3.1
None, 0.0, 2016-11-18 00:00:00, 1.2, 3.5
None, 3.8, 2016-11-19 00:00:00, 1.5, 2.2
None, 4.2, 2016-11-20 00:00:00, 1.9, 3.4
None, 1.6, 2016-11-21 00:00:00, 3.0, 5.1
None, 0.2, 2016-11-22 00:00:00, 2.4, 8.2
None, 0.0, 2016-11-23 00:00:00, 2.0, 4.0
None, 11.1, 2016-11-24 00:00:00, 2.2, 3.7
None, 11.4, 2016-11-25 00:00:00, 1.7, 4.1
None, 14.4, 2016-11-26 00:00:00, 1.1, 2.5
None, 6.7, 2016-11-27 00:00:00, 1.6, 3.7
None, 0.9, 2016-11-28 00:00:00, 0.9, 2.7
None, 0.4, 2016-11-29 00:00:00, 0.1, 6.6
None, 0.8, 2016-11-30 00:00:00, -0.1, 1.2
None, 1.1, 2016-12-01 00:00:00, 0.0, 1.5
None, 4.4, 2016-12-02 00:00:00, -1.1, 0.5
None, 9.4, 2016-12-03 00:00:00, -0.4, 0.9
None, 1.3, 2016-12-04 00:00:00, -2.7, 1.0
None, 0.6, 2016-12-05 00:00:00, -4.7, -2.1
None, 0.7, 2016-12-06 00:00:00, -10.1, -4.3
None, 0.3, 2016-12-07 00:00:00, -11.0, -9.0
None, 0.0, 2016-12-08 00:00:00, -10.6, -7.6
None, 0.1, 2016-12-09 00:00:00, -12.3, -9.9
None, 0.1, 2016-12-10 00:00:00, -10.3, -7.3
None, 0.0, 2016-12-11 00:00:00, -7.9, -5.4
None, 1.3, 2016-12-12 00:00:00, -9.5, -7.2
None, 0.3, 2016-12-13 00:00:00, -10.1, -9.0
None, 0.2, 2016-12-14 00:00:00, -11.4, -9.7
None, 0.3, 2016-12-15 00:00:00, -12.8, -9.7
None, 0.0, 2016-12-16 00:00:00, -12.2, -10.4
None, 0.3, 2016-12-17 00:00:00, -11.9, -10.8
None, 1.3, 2016-12-18 00:00:00, -11.2, -9.1
None, 10.3, 2016-12-19 00:00:00, -9.3, -6.0
None, 4.5, 2016-12-20 00:00:00, -6.2, -3.0
None, 0.2, 2016-12-21 00:00:00, -4.2, -1.1
None, 6.8, 2016-12-22 00:00:00, -1.4, -0.7
None, 3.1, 2016-12-23 00:00:00, -2.6, -1.4
None, 0.8, 2016-12-24 00:00:00, -5.8, -1.8
None, 1.1, 2016-12-25 00:00:00, -6.8, -4.6
None, 4.4, 2016-12-26 00:00:00, -7.1, -5.4
None, 5.9, 2016-12-27 00:00:00, -6.1, -4.3
None, 0.5, 2016-12-28 00:00:00, -4.4, -1.9
None, 10.3, 2016-12-29 00:00:00, -3.2, -2.6
None, 2.0, 2016-12-30 00:00:00, -4.7, -0.8
None, 0.8, 2016-12-31 00:00:00, -6.6, -4.7
