station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 1.822, 109.7, None, None, None, 1016.0, None, None, None, None, None, 65.7, None, None, -12.13, None, None, None, None, 38.96, None, None, None, None, None, 2017-01-09 23:00:00, None
None, None, None, None, 2.365, 132.0, None, None, None, 1016.0, None, None, None, None, None, 66.0, None, None, -12.27, None, None, None, None, 21.57, None, None, None, None, None, 2017-01-10 00:00:00, None
None, None, None, None, 1.257, 150.2, None, None, None, 1016.0, None, None, None, None, None, 66.32, None, None, -13.03, None, None, None, None, 52.53, None, None, None, None, None, 2017-01-10 01:00:00, None
None, None, None, None, 1.129, 229.8, None, None, None, 1016.0, None, None, None, None, None, 66.12, None, None, -11.89, None, None, None, None, 49.61, None, None, None, None, None, 2017-01-10 02:00:00, None
None, None, None, None, 0.932, 96.4, None, None, None, 1016.0, None, None, None, None, None, 66.08, None, None, -12.7, None, None, None, None, 60.04, None, None, None, None, None, 2017-01-10 03:00:00, None
None, None, None, None, 1.151, 125.1, None, None, None, 1017.0, None, None, None, None, None, 66.36, None, None, -13.4, None, None, None, None, 42.47, None, None, None, None, None, 2017-01-10 04:00:00, None
None, None, None, None, 0.913, 126.1, None, None, None, 1017.0, None, None, None, None, None, 66.16, None, None, -11.22, None, None, None, None, 53.9, None, None, None, None, None, 2017-01-10 05:00:00, None
None, None, None, None, 0.864, 153.3, None, None, None, 1016.0, None, None, None, None, None, 67.0, None, None, -9.88, None, None, None, None, 69.68, None, None, None, None, None, 2017-01-10 06:00:00, None
None, None, None, None, 2.018, 129.7, None, None, None, 1016.0, None, None, None, None, None, 66.63, None, None, -8.93, None, None, None, None, 60.24, None, None, None, None, None, 2017-01-10 07:00:00, None
None, None, None, None, 0.883, 106.6, None, None, None, 1016.0, None, None, None, None, None, 66.57, None, None, -9.05, None, None, None, None, 68.55, None, None, None, None, None, 2017-01-10 08:00:00, None
