station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, MEASURED_WIND_DIRECTION1, MEASURED_WIND_SPEED1, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, dwpt_temp, time
-15.98, None, None, None, None, 15.75, None, 263.6, 26.79, None, None, None, None, None, 2017-02-06 15:00:00
-16.59, None, None, None, None, 8.63, None, 266.4, 12.3, None, None, None, None, None, 2017-02-06 21:00:00
-16.4, None, None, None, None, 11.81, None, 263.5, 10.24, None, None, None, None, None, 2017-02-06 22:00:00
-16.2, None, None, None, None, 21.03, None, 241.1, 8.72, None, None, None, None, None, 2017-02-06 23:00:00
-15.53, None, None, None, None, 14.24, None, 210.6, 16.58, None, None, None, None, None, 2017-02-07 01:00:00
-16.01, None, None, None, None, 13.56, None, 261.0, 22.13, None, None, None, None, None, 2017-02-07 03:00:00
-16.88, None, None, None, None, 9.49, None, 268.2, 19.19, None, None, None, None, None, 2017-02-07 05:00:00
-17.22, None, None, None, None, 9.33, None, 271.2, 16.88, None, None, None, None, None, 2017-02-07 06:00:00
-17.36, None, None, None, None, 10.1, None, 268.1, 13.54, None, None, None, None, None, 2017-02-07 07:00:00
-17.46, None, None, None, None, 10.62, None, 272.8, 13.38, None, None, None, None, None, 2017-02-07 08:00:00
-17.55, None, None, None, None, 13.81, None, 267.9, 11.75, None, None, None, None, None, 2017-02-07 09:00:00
-15.79, None, None, None, None, 14.67, None, 260.3, 10.39, None, None, None, None, None, 2017-02-07 12:00:00
-15.45, None, None, None, None, 15.34, None, 268.5, 12.73, None, None, None, None, None, 2017-02-07 13:00:00
-15.07, None, None, None, None, 16.86, None, 280.0, 7.07, None, None, None, None, None, 2017-02-07 14:00:00
-13.83, None, None, None, None, 24.83, None, 272.8, 5.752, None, None, None, None, None, 2017-02-07 15:00:00
-16.91, None, None, None, None, 11.35, None, 296.2, 7.95, None, None, None, None, None, 2017-02-07 17:00:00
-18.52, None, None, None, None, 16.07, None, 270.0, 5.96, None, None, None, None, None, 2017-02-07 19:00:00
-18.26, None, None, None, None, 8.23, None, 272.6, 13.65, None, None, None, None, None, 2017-02-07 23:00:00
-17.83, None, None, None, None, 8.6, None, 270.1, 18.49, None, None, None, None, None, 2017-02-08 00:00:00
-17.55, None, None, None, None, 9.66, None, 271.6, 17.69, None, None, None, None, None, 2017-02-08 01:00:00
