station_observations
pcpn_amt_pst24hrs, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
1.0, 887.0, None, -8.5, -8.5, 189.0, None, None, 0.0, 424.0, None, 2020-01-07 09:00:00, None
1.0, 887.0, None, -8.9, -8.9, 191.0, None, None, 0.0, 426.0, None, 2020-01-07 10:00:00, None
1.0, 887.0, None, -8.5, -8.5, 192.0, None, None, 0.0, 428.0, None, 2020-01-07 11:00:00, None
1.0, 887.0, None, -8.6, -8.6, 192.0, None, None, 0.0, 428.0, None, 2020-01-07 12:00:00, None
1.0, 887.0, None, -8.5, -8.5, 193.0, None, None, 0.0, 429.0, None, 2020-01-07 13:00:00, None
1.0, 887.0, None, -8.6, -8.6, 193.0, None, None, 0.0, 430.0, None, 2020-01-07 14:00:00, None
1.0, 887.0, None, -8.7, -8.7, 195.0, None, None, 0.0, 430.0, None, 2020-01-07 15:00:00, None
1.0, 887.0, None, -8.7, -8.7, 196.0, None, None, 0.0, 431.0, None, 2020-01-07 16:00:00, None
1.0, 887.0, None, -8.8, -8.8, 196.0, None, None, 0.0, 431.0, None, 2020-01-07 17:00:00, None
1.0, 887.0, None, -8.9, -8.9, 196.0, None, None, 0.0, 432.0, None, 2020-01-07 18:00:00, None
0.0, 887.0, None, -8.8, -8.8, 196.0, None, None, 0.0, 433.0, None, 2020-01-07 19:00:00, None
None, 886.0, None, -5.3, -5.3, 195.0, None, None, None, 433.0, None, 2020-01-07 20:00:00, None
None, 886.0, None, -6.1, -6.1, 196.0, None, None, 0.0, 433.0, None, 2020-01-07 21:00:00, None
None, 886.0, None, -6.7, -6.7, 195.0, None, None, 0.0, 433.0, None, 2020-01-07 22:00:00, None
0.0, 887.0, None, -6.6, -6.6, 193.0, None, None, 1.0, 433.0, None, 2020-01-07 23:00:00, None
0.0, 887.0, None, -7.2, -7.2, 193.0, None, None, 0.0, 433.0, None, 2020-01-08 00:00:00, None
0.0, 887.0, None, -7.5, -7.5, 192.0, None, None, 0.0, 433.0, None, 2020-01-08 01:00:00, None
0.0, 887.0, None, -7.7, -7.7, 191.0, None, None, 0.0, 433.0, None, 2020-01-08 02:00:00, None
0.0, 887.0, None, -7.8, -7.8, 191.0, None, None, 0.0, 433.0, None, 2020-01-08 03:00:00, None
0.0, 887.0, None, -8.4, -8.4, 191.0, None, None, 0.0, 433.0, None, 2020-01-08 04:00:00, None
0.0, 887.0, None, -8.7, -8.7, 192.0, None, None, 0.0, 433.0, None, 2020-01-08 05:00:00, None
0.0, 887.0, None, -9.0, -9.0, 191.0, None, None, 0.0, 433.0, None, 2020-01-08 06:00:00, None
1.0, 887.0, None, -9.2, -9.2, 190.0, None, None, 0.0, 433.0, None, 2020-01-08 07:00:00, None
0.0, 887.0, None, -10.1, -10.1, 190.0, None, None, 0.0, 433.0, None, 2020-01-08 08:00:00, None
0.0, 887.0, None, -8.9, -8.9, 190.0, None, None, 0.0, 433.0, None, 2020-01-08 09:00:00, None
0.0, 887.0, None, -8.3, -8.3, 189.0, None, None, 0.0, 433.0, None, 2020-01-08 10:00:00, None
0.0, 887.0, None, -7.7, -7.7, 188.0, None, None, 0.0, 433.0, None, 2020-01-08 11:00:00, None
0.0, 887.0, None, -7.3, -7.3, 188.0, None, None, 0.0, 433.0, None, 2020-01-08 12:00:00, None
0.0, 887.0, None, -7.2, -7.2, 187.0, None, None, 0.0, 433.0, None, 2020-01-08 13:00:00, None
0.0, 887.0, None, -7.3, -7.3, 187.0, None, None, 0.0, 433.0, None, 2020-01-08 14:00:00, None
0.0, 887.0, None, -7.2, -7.2, 186.0, None, None, 0.0, 433.0, None, 2020-01-08 15:00:00, None
0.0, 887.0, None, -8.1, -8.1, 185.0, None, None, 0.0, 433.0, None, 2020-01-08 16:00:00, None
0.0, 887.0, None, -9.1, -9.1, 185.0, None, None, 0.0, 433.0, None, 2020-01-08 17:00:00, None
0.0, 887.0, None, -8.3, -8.3, 186.0, None, None, 0.0, 433.0, None, 2020-01-08 18:00:00, None
0.0, 887.0, None, -8.2, -8.2, 185.0, None, None, 0.0, 433.0, None, 2020-01-08 19:00:00, None
1.0, 887.0, None, -8.7, -8.7, 186.0, None, None, 0.0, 432.0, None, 2020-01-08 20:00:00, None
1.0, 887.0, None, -8.2, -8.2, 186.0, None, None, 0.0, 432.0, None, 2020-01-08 21:00:00, None
1.0, 887.0, None, -8.1, -8.1, 185.0, None, None, 0.0, 432.0, None, 2020-01-08 22:00:00, None
0.0, 887.0, None, -8.1, -8.1, 184.0, None, None, 0.0, 432.0, None, 2020-01-08 23:00:00, None
0.0, 887.0, None, -8.5, -8.5, 186.0, None, None, 0.0, 433.0, None, 2020-01-09 00:00:00, None
