station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, air_temperature_yesterday_high, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, total_cloud_cover
None, None, None, None, None, None, None, 2012-12-12 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-12-13 23:00:00, None, 0.4, None, None
None, None, None, None, None, None, None, 2012-12-14 23:00:00, None, 5.7, None, None
None, None, None, None, None, None, None, 2012-12-15 23:00:00, None, 3.8, None, None
None, None, None, None, None, None, None, 2012-12-16 23:00:00, None, 14.3, None, None
None, None, None, None, None, None, None, 2012-12-17 23:00:00, None, 18.9, None, None
None, None, None, None, None, None, None, 2012-12-18 23:00:00, None, 0.6, None, None
None, None, None, None, None, None, None, 2012-12-19 23:00:00, None, 7.7, None, None
None, None, None, None, None, None, None, 2012-12-20 23:00:00, None, 11.5, None, None
None, None, None, None, None, None, None, 2012-12-21 23:00:00, None, 0.4, None, None
None, None, None, None, None, None, None, 2012-12-22 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-12-23 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-12-24 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-12-25 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-12-26 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-12-27 23:00:00, None, 5.2, None, None
None, None, None, None, None, None, None, 2012-12-28 23:00:00, None, 1.1, None, None
None, None, None, None, None, None, None, 2012-12-29 23:00:00, None, 9.5, None, None
None, None, None, None, None, None, None, 2012-12-30 23:00:00, None, 0.0, None, None
