station_observations
wind_speed, dew_point, wind_direction, relative_humidity, air_temperature, time, total_cloud_cover
3.6, -9.2, 90.0, None, -6.6, 2012-03-06 23:00:00, 6.0
0.0, -12.6, 0.0, None, -10.1, 2012-03-07 15:00:00, 6.0
0.0, -11.2, 0.0, None, -8.6, 2012-03-07 16:00:00, 6.0
16.6, -4.2, 270.0, None, -2.2, 2012-03-07 19:00:00, 6.0
0.0, -12.0, 0.0, None, -9.6, 2012-03-08 15:00:00, 6.0
0.0, -12.0, 0.0, None, -8.9, 2012-03-08 16:00:00, 4.0
3.6, -7.2, 0.0, None, -4.7, 2012-03-08 19:00:00, 6.0
3.6, -5.4, 90.0, None, -3.2, 2012-03-08 23:00:00, 6.0
9.4, -10.4, 225.0, None, -7.6, 2012-03-09 15:00:00, 4.0
3.6, -11.7, 0.0, None, -7.3, 2012-03-09 16:00:00, 1.0
25.9, -7.2, 180.0, None, 6.9, 2012-03-09 19:00:00, 10.0
16.6, -10.7, 270.0, None, 5.1, 2012-03-09 23:00:00, 6.0
9.4, -12.7, 270.0, None, -10.2, 2012-03-10 15:00:00, 1.0
9.4, -12.4, 180.0, None, -9.9, 2012-03-10 16:00:00, 10.0
3.6, -7.0, 90.0, None, 3.0, 2012-03-10 19:00:00, 1.0
9.4, -7.7, 180.0, None, 6.6, 2012-03-10 23:00:00, 1.0
0.0, -17.1, 0.0, None, -14.3, 2012-03-11 14:00:00, 4.0
0.0, -16.8, 0.0, None, -15.0, 2012-03-11 15:00:00, 6.0
0.0, -20.3, 0.0, None, -17.0, 2012-03-12 14:00:00, 6.0
0.0, -19.8, 0.0, None, -16.6, 2012-03-12 15:00:00, 6.0
9.4, -18.5, 0.0, None, -16.0, 2012-03-12 18:00:00, 6.0
9.4, -17.3, 180.0, None, -15.0, 2012-03-12 22:00:00, 6.0
0.0, -28.4, 0.0, None, -25.7, 2012-03-13 13:00:00, 4.0
9.4, -28.8, 270.0, None, -24.9, 2012-03-13 15:00:00, 9.0
