station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2012-08-21 00:00:00, 2.6, None, None
2012-08-22 00:00:00, 2.3, 21.8, 10.2
2012-08-23 00:00:00, 1.1, 18.4, 9.2
2012-08-24 00:00:00, 0.8, 16.4, 7.7
2012-08-25 00:00:00, 0.0, 22.5, 5.6
2012-08-26 00:00:00, 0.0, 25.7, 5.1
2012-08-27 00:00:00, 0.0, 24.7, 10.0
2012-08-28 00:00:00, 0.8, 18.4, 5.1
2012-08-29 00:00:00, 1.4, 20.0, 9.5
2012-08-30 00:00:00, 4.3, 15.0, 6.0
2012-08-31 00:00:00, 3.0, 16.6, 4.9
2012-09-01 00:00:00, 3.8, 14.5, 6.3
2012-09-02 00:00:00, 0.0, 19.2, 4.3
2012-09-03 00:00:00, 0.0, 17.3, 6.8
2012-09-04 00:00:00, 0.0, 22.0, 7.7
2012-09-05 00:00:00, 0.0, 20.5, 7.1
2012-09-08 00:00:00, 0.0, 29.9, 5.2
2012-09-09 00:00:00, 2.8, 25.4, 5.1
2012-09-10 00:00:00, 0.5, 14.6, 5.2
2012-09-11 00:00:00, 0.0, 16.2, 1.1
2012-09-12 00:00:00, 0.0, 17.6, -2.0
2012-09-13 00:00:00, 0.0, 24.7, 1.4
2012-09-14 00:00:00, 0.0, 23.7, 5.1
2012-09-15 00:00:00, 0.0, 19.8, -1.1
2012-09-16 00:00:00, 0.0, 22.1, -1.9
2012-09-17 00:00:00, 0.0, 25.2, 0.0
2012-09-18 00:00:00, 0.0, 23.3, 1.7
2012-09-19 00:00:00, 0.0, 24.5, 1.2
2012-09-20 00:00:00, 0.0, 25.9, 2.0
2012-09-21 00:00:00, 0.0, 26.4, 3.4
2012-09-22 00:00:00, 0.0, 26.5, 3.2
2012-09-23 00:00:00, 0.0, 25.0, 3.5
2012-09-24 00:00:00, 4.5, 19.7, 5.1
2012-09-25 00:00:00, 0.3, 17.5, 3.6
2012-09-26 00:00:00, 0.0, 20.4, 1.0
2012-09-27 00:00:00, 0.0, 23.4, -0.1
2012-09-28 00:00:00, 3.8, 14.9, 4.3
2012-09-29 00:00:00, 2.8, 15.6, 7.1
2012-09-30 00:00:00, 1.5, 18.5, 3.3
2012-10-01 00:00:00, 1.0, 21.2, 10.0
2012-10-02 00:00:00, 0.0, 11.0, -0.4
2012-10-03 00:00:00, 0.0, 10.0, -4.5
2012-10-04 00:00:00, 0.0, 12.7, -4.2
2012-10-05 00:00:00, 0.0, 14.1, -3.2
2012-10-06 00:00:00, 0.0, 16.5, -2.6
2012-10-07 00:00:00, 0.0, 18.2, -0.6
2012-10-08 00:00:00, 0.0, 18.2, 0.8
2012-10-09 00:00:00, 0.0, 20.9, -2.6
2012-10-10 00:00:00, 0.0, 10.5, -2.3
2012-10-11 00:00:00, 0.0, 8.0, -5.8
2012-10-12 00:00:00, 8.1, 13.6, 3.4
2012-10-13 00:00:00, 0.3, None, None
2012-10-14 00:00:00, 0.5, 19.4, 6.0
2012-10-15 00:00:00, 0.3, 13.3, -2.4
2012-10-16 00:00:00, 0.0, 13.4, 2.8
2012-10-17 00:00:00, 0.0, 9.8, -4.6
2012-10-18 00:00:00, 16.1, 9.4, 4.3
2012-10-19 00:00:00, 5.3, 11.1, -1.7
2012-10-20 00:00:00, 0.0, 3.6, -4.0
2012-10-21 00:00:00, 0.0, 0.5, -4.1
2012-10-22 00:00:00, 0.0, 2.4, -6.2
2012-10-23 00:00:00, 0.0, 1.8, -7.6
2012-10-24 00:00:00, 0.0, 2.1, -4.2
2012-10-25 00:00:00, 0.0, 3.2, -4.5
2012-10-26 00:00:00, 1.0, 1.4, -4.7
2012-10-27 00:00:00, 2.0, 1.4, -1.3
2012-10-28 00:00:00, 7.8, 0.2, -4.7
2012-10-29 00:00:00, 10.3, -2.2, -4.8
2012-10-30 00:00:00, 0.5, -4.8, -15.2
2012-10-31 00:00:00, 2.0, None, None
2012-11-01 00:00:00, 4.8, -0.8, -5.8
2012-11-03 00:00:00, 0.0, 5.8, -0.1
2012-11-04 00:00:00, 0.3, 12.3, 0.0
2012-11-05 00:00:00, 0.0, 8.8, -4.0
2012-11-06 00:00:00, 2.1, 0.2, -2.2
2012-11-07 00:00:00, 0.3, 0.7, -2.2
2012-11-08 00:00:00, None, -2.0, -5.2
2012-11-09 00:00:00, 0.0, -3.9, -10.2
2012-11-10 00:00:00, 0.0, -5.0, -17.9
2012-11-11 00:00:00, 0.0, -1.0, -11.9
2012-11-12 00:00:00, 0.0, 2.7, -1.3
2012-11-13 00:00:00, 0.0, 4.4, 1.3
2012-11-14 00:00:00, 0.0, 7.5, -3.7
2012-11-15 00:00:00, 0.0, 2.7, -1.6
2012-11-16 00:00:00, 0.0, 4.7, -3.1
2012-11-17 00:00:00, 1.6, 11.4, 2.7
2012-11-18 00:00:00, 0.0, 7.1, -2.4
2012-11-19 00:00:00, 0.0, 7.1, -0.2
2012-11-20 00:00:00, 0.0, -0.3, -7.6
2012-11-21 00:00:00, 0.0, -6.4, -8.0
2012-11-22 00:00:00, 0.0, 2.9, -7.8
2012-11-23 00:00:00, 0.0, 6.9, -4.4
2012-11-24 00:00:00, 0.0, 2.0, -5.2
2012-11-25 00:00:00, 0.0, 3.9, -4.9
2012-11-26 00:00:00, 0.0, -0.3, -7.7
2012-11-27 00:00:00, 0.0, -3.1, -7.7
2012-11-28 00:00:00, 1.8, -1.4, -5.4
2012-11-29 00:00:00, 1.3, -2.5, -7.2
2012-11-30 00:00:00, 0.0, -4.6, -7.7
2012-12-01 00:00:00, 0.0, -6.2, -11.2
2012-12-02 00:00:00, 0.0, -5.9, -12.5
2012-12-03 00:00:00, 0.0, -0.5, -7.9
2012-12-04 00:00:00, 0.0, 9.9, -2.5
