station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
62.39, None, None, None, 1.552, None, None, None, -14.0, None, None, None, None, None, None, 43.93, None, -8.96, None, None, None, None, None, None, None, None, None, 2016-01-05 08:00:00, None
57.57, None, None, None, 1.884, None, None, None, -15.0, None, None, None, None, None, None, 43.79, None, -8.77, None, None, None, None, None, None, None, None, None, 2016-01-05 09:00:00, None
56.84, None, None, None, 0.655, None, None, None, -15.0, None, None, None, None, None, None, 43.77, None, -8.53, None, None, None, None, None, None, None, None, None, 2016-01-05 10:00:00, None
56.25, None, None, None, 1.157, None, None, None, -14.0, None, None, None, None, None, None, 43.92, None, -8.06, None, None, None, None, None, None, None, None, None, 2016-01-05 11:00:00, None
58.82, None, None, None, 1.5, None, None, None, -13.0, None, None, None, None, None, None, 44.0, None, -6.783, None, None, None, None, None, None, None, None, None, 2016-01-05 12:00:00, None
51.13, None, None, None, 1.471, None, None, None, -14.0, None, None, None, None, None, None, 44.01, None, -5.962, None, None, None, None, None, None, None, None, None, 2016-01-05 13:00:00, None
55.35, None, None, None, 3.088, None, None, None, -14.0, None, None, None, None, None, None, 44.15, None, -7.11, None, None, None, None, None, None, None, None, None, 2016-01-05 14:00:00, None
60.65, None, None, None, 2.71, None, None, None, -13.0, None, None, None, None, None, None, 44.01, None, -7.7, None, None, None, None, None, None, None, None, None, 2016-01-05 15:00:00, None
62.24, None, None, None, 1.027, None, None, None, -14.0, None, None, None, None, None, None, 43.69, None, -8.6, None, None, None, None, None, None, None, None, None, 2016-01-05 16:00:00, None
59.54, None, None, None, 1.727, None, None, None, -14.0, None, None, None, None, None, None, 44.16, None, -8.31, None, None, None, None, None, None, None, None, None, 2016-01-05 17:00:00, None
61.4, None, None, None, 1.159, None, None, None, -15.0, None, None, None, None, None, None, 44.11, None, -9.1, None, None, None, None, None, None, None, None, None, 2016-01-05 18:00:00, None
61.86, None, None, None, 1.521, None, None, None, -15.0, None, None, None, None, None, None, 43.92, None, -9.29, None, None, None, None, None, None, None, None, None, 2016-01-05 19:00:00, None
67.02, None, None, None, 1.162, None, None, None, -14.0, None, None, None, None, None, None, 44.06, None, -9.38, None, None, None, None, None, None, None, None, None, 2016-01-05 20:00:00, None
66.23, None, None, None, 1.259, None, None, None, -13.0, None, None, None, None, None, None, 44.11, None, -8.67, None, None, None, None, None, None, None, None, None, 2016-01-05 21:00:00, None
70.7, None, None, None, 1.566, None, None, None, -14.0, None, None, None, None, None, None, 44.19, None, -9.67, None, None, None, None, None, None, None, None, None, 2016-01-05 22:00:00, None
62.79, None, None, None, 2.702, None, None, None, -15.0, None, None, None, None, None, None, 44.05, None, -9.43, None, None, None, None, None, None, None, None, None, 2016-01-05 23:00:00, None
65.1, None, None, None, 3.396, None, None, None, -13.0, None, None, None, None, None, None, 44.1, None, -8.34, None, None, None, None, None, None, None, None, None, 2016-01-06 00:00:00, None
64.44, None, None, None, 5.269, None, None, None, -14.0, None, None, None, None, None, None, 43.88, None, -8.91, None, None, None, None, None, None, None, None, None, 2016-01-06 01:00:00, None
70.1, None, None, None, 4.834, None, None, None, -14.0, None, None, None, None, None, None, 43.88, None, -9.76, None, None, None, None, None, None, None, None, None, 2016-01-06 02:00:00, None
78.5, None, None, None, 6.528, None, None, None, -12.0, None, None, None, None, None, None, 43.66, None, -9.57, None, None, None, None, None, None, None, None, None, 2016-01-06 03:00:00, None
75.0, None, None, None, 5.066, None, None, None, -11.0, None, None, None, None, None, None, 44.16, None, -7.35, None, None, None, None, None, None, None, None, None, 2016-01-06 04:00:00, None
70.9, None, None, None, 5.032, None, None, None, -11.0, None, None, None, None, None, None, 44.01, None, -7.21, None, None, None, None, None, None, None, None, None, 2016-01-06 05:00:00, None
71.8, None, None, None, 2.027, None, None, None, -11.0, None, None, None, None, None, None, 43.91, None, -7.55, None, None, None, None, None, None, None, None, None, 2016-01-06 06:00:00, None
74.1, None, None, None, 2.474, None, None, None, -11.0, None, None, None, None, None, None, 43.99, None, -8.02, None, None, None, None, None, None, None, None, None, 2016-01-06 07:00:00, None
69.26, None, None, None, 2.978, None, None, None, -11.0, None, None, None, None, None, None, 44.06, None, -7.21, None, None, None, None, None, None, None, None, None, 2016-01-06 08:00:00, None
68.13, None, None, None, 4.246, None, None, None, -11.0, None, None, None, None, None, None, 44.15, None, -6.792, None, None, None, None, None, None, None, None, None, 2016-01-06 09:00:00, None
66.94, None, None, None, 4.738, None, None, None, -11.0, None, None, None, None, None, None, 44.13, None, -6.278, None, None, None, None, None, None, None, None, None, 2016-01-06 10:00:00, None
65.54, None, None, None, 2.945, None, None, None, -11.0, None, None, None, None, None, None, 44.37, None, -5.763, None, None, None, None, None, None, None, None, None, 2016-01-06 11:00:00, None
60.26, None, None, None, 3.323, None, None, None, -11.0, None, None, None, None, None, None, 44.3, None, -4.77, None, None, None, None, None, None, None, None, None, 2016-01-06 12:00:00, None
60.59, None, None, None, 2.99, None, None, None, -11.0, None, None, None, None, None, None, 44.36, None, -5.007, None, None, None, None, None, None, None, None, None, 2016-01-06 13:00:00, None
59.93, None, None, None, 2.307, None, None, None, -10.0, None, None, None, None, None, None, 44.35, None, -4.44, None, None, None, None, None, None, None, None, None, 2016-01-06 14:00:00, None
59.07, None, None, None, 2.837, None, None, None, -10.0, None, None, None, None, None, None, 44.45, None, -4.061, None, None, None, None, None, None, None, None, None, 2016-01-06 15:00:00, None
65.68, None, None, None, 2.441, None, None, None, -9.0, None, None, None, None, None, None, 44.37, None, -4.061, None, None, None, None, None, None, None, None, None, 2016-01-06 16:00:00, None
67.66, None, None, None, 1.683, None, None, None, -9.0, None, None, None, None, None, None, 44.21, None, -4.44, None, None, None, None, None, None, None, None, None, 2016-01-06 17:00:00, None
63.69, None, None, None, 2.366, None, None, None, -10.0, None, None, None, None, None, None, 44.27, None, -4.534, None, None, None, None, None, None, None, None, None, 2016-01-06 18:00:00, None
70.1, None, None, None, 2.482, None, None, None, -8.0, None, None, None, None, None, None, 44.37, None, -4.156, None, None, None, None, None, None, None, None, None, 2016-01-06 19:00:00, None
72.9, None, None, None, 1.524, None, None, None, -8.0, None, None, None, None, None, None, 44.44, None, -4.061, None, None, None, None, None, None, None, None, None, 2016-01-06 20:00:00, None
71.0, None, None, None, 1.994, None, None, None, -8.0, None, None, None, None, None, None, 44.4, None, -4.156, None, None, None, None, None, None, None, None, None, 2016-01-06 21:00:00, None
81.1, None, None, None, 2.225, None, None, None, -6.0, None, None, None, None, None, None, 44.45, None, -3.683, None, None, None, None, None, None, None, None, None, 2016-01-06 22:00:00, None
73.2, None, None, None, 1.157, None, None, None, -8.0, None, None, None, None, None, None, 44.04, None, -4.818, None, None, None, None, None, None, None, None, None, 2016-01-06 23:00:00, None
76.2, None, None, None, 2.289, None, None, None, -7.0, None, None, None, None, None, None, 44.43, None, -3.872, None, None, None, None, None, None, None, None, None, 2016-01-07 00:00:00, None
70.4, None, None, None, 2.564, None, None, None, -9.0, None, None, None, None, None, None, 44.33, None, -4.96, None, None, None, None, None, None, None, None, None, 2016-01-07 01:00:00, None
68.71, None, None, None, 4.552, None, None, None, -9.0, None, None, None, None, None, None, 43.89, None, -4.345, None, None, None, None, None, None, None, None, None, 2016-01-07 02:00:00, None
82.5, None, None, None, 4.775, None, None, None, -6.0, None, None, None, None, None, None, 44.28, None, -3.447, None, None, None, None, None, None, None, None, None, 2016-01-07 03:00:00, None
80.1, None, None, None, 3.132, None, None, None, -9.0, None, None, None, None, None, None, 44.24, None, -5.952, None, None, None, None, None, None, None, None, None, 2016-01-07 04:00:00, None
