AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
6.1, None, None, -18.0,2021-07-11 06:20:00, 0.0, None,28
6.2, None, None, -18.0,2021-07-11 06:35:00, 0.0, None,28
6.4, None, None, -18.0,2021-07-11 06:50:00, 0.0, None,28
6.9, None, None, -18.0,2021-07-11 07:05:00, 0.0, None,28
7.0, None, None, -18.0,2021-07-11 07:20:00, 0.0, None,28
7.7, None, None, -18.0,2021-07-11 07:35:00, 0.0, None,28
6.8, None, None, -18.0,2021-07-11 07:50:00, 0.0, None,28
7.6, None, None, -18.0,2021-07-11 08:05:00, 0.0, None,28
7.6, None, None, -17.0,2021-07-11 08:20:00, 0.0, None,28
7.8, None, None, -18.0,2021-07-11 08:35:00, 0.0, None,28
7.8, None, None, -17.0,2021-07-11 08:50:00, 0.0, None,28
8.1, None, None, -17.0,2021-07-11 09:05:00, 0.0, None,28
7.5, None, None, -17.0,2021-07-11 09:20:00, 0.0, None,28
7.9, None, None, -17.0,2021-07-11 09:35:00, 0.0, None,28
8.5, None, None, -17.0,2021-07-11 09:50:00, 0.0, None,28
9.0, None, None, -18.0,2021-07-11 10:05:00, 0.0, None,28
9.0, None, None, -17.0,2021-07-11 10:20:00, 0.0, None,28
10.5, None, None, -18.0,2021-07-11 10:35:00, 0.0, None,28
10.4, None, None, -17.0,2021-07-11 10:50:00, 0.0, None,28
10.2, None, None, -18.0,2021-07-11 11:05:00, 0.0, None,28
11.3, None, None, -17.0,2021-07-11 11:20:00, 0.0, None,28
11.7, None, None, -18.0,2021-07-11 11:35:00, 0.0, None,28
11.7, None, None, -17.0,2021-07-11 11:50:00, 0.0, None,28
12.3, None, None, -17.0,2021-07-11 12:05:00, 0.0, None,28
12.4, None, None, -17.0,2021-07-11 12:20:00, 0.0, None,28
12.1, None, None, -17.0,2021-07-11 12:35:00, 0.0, None,28
12.5, None, None, -17.0,2021-07-11 12:50:00, 0.0, None,28
12.7, None, None, -17.0,2021-07-11 13:05:00, 0.0, None,28
13.1, None, None, -17.0,2021-07-11 13:20:00, 0.0, None,28
13.1, None, None, -17.0,2021-07-11 13:35:00, 0.0, None,28
13.5, None, None, -17.0,2021-07-11 13:50:00, 0.0, None,28
13.7, None, None, -17.0,2021-07-11 14:05:00, 0.0, None,28
13.9, None, None, -16.0,2021-07-11 14:20:00, 0.0, None,28
14.4, None, None, -17.0,2021-07-11 14:35:00, 0.0, None,28
14.5, None, None, -17.0,2021-07-11 14:50:00, 0.0, None,28
14.2, None, None, -17.0,2021-07-11 15:05:00, 0.0, None,28
14.6, None, None, -16.0,2021-07-11 15:20:00, 0.0, None,28
14.4, None, None, -16.0,2021-07-11 15:35:00, 0.0, None,28
15.2, None, None, -17.0,2021-07-11 15:50:00, 0.0, None,28
15.0, None, None, -16.0,2021-07-11 16:05:00, 0.0, None,28
15.0, None, None, -16.0,2021-07-11 16:20:00, 0.0, None,28
15.0, None, None, -16.0,2021-07-11 16:35:00, 0.0, None,28
15.2, None, None, -16.0,2021-07-11 16:50:00, 0.0, None,28
15.5, None, None, -16.0,2021-07-11 17:05:00, 0.0, None,28
15.6, None, None, -16.0,2021-07-11 17:20:00, 0.0, None,28
15.2, None, None, -16.0,2021-07-11 17:35:00, 0.0, None,28
15.3, None, None, -16.0,2021-07-11 17:50:00, 0.0, None,28
15.2, None, None, -17.0,2021-07-11 18:05:00, 0.0, None,28
15.2, None, None, -17.0,2021-07-11 18:20:00, 0.0, None,28
14.8, None, None, -17.0,2021-07-11 18:35:00, 0.0, None,28
14.9, None, None, -17.0,2021-07-11 18:50:00, 0.0, None,28
14.1, None, None, -17.0,2021-07-11 19:05:00, 0.0, None,28
13.8, None, None, -17.0,2021-07-11 19:20:00, 0.0, None,28
13.3, None, None, -17.0,2021-07-11 19:35:00, 0.0, None,28
13.1, None, None, -17.0,2021-07-11 19:50:00, 0.0, None,28
13.2, None, None, -17.0,2021-07-11 20:05:00, 0.0, None,28
12.4, None, None, -17.0,2021-07-11 20:20:00, 0.0, None,28
11.8, None, None, -17.0,2021-07-11 20:35:00, 0.0, None,28
11.4, None, None, -17.0,2021-07-11 20:50:00, 0.0, None,28
11.0, None, None, -18.0,2021-07-11 21:05:00, 0.0, None,28
11.0, None, None, -18.0,2021-07-11 21:20:00, 0.0, None,28
10.7, None, None, -18.0,2021-07-11 21:35:00, 0.0, None,28
10.7, None, None, -18.0,2021-07-11 21:50:00, 0.0, None,28
10.7, None, None, -18.0,2021-07-11 22:05:00, 0.0, None,28
10.4, None, None, -18.0,2021-07-11 22:20:00, 0.0, None,28
10.1, None, None, -18.0,2021-07-11 22:35:00, 0.0, None,28
10.0, None, None, -18.0,2021-07-11 22:50:00, 0.0, None,28
10.2, None, None, -18.0,2021-07-11 23:05:00, 0.0, None,28
10.4, None, None, -18.0,2021-07-11 23:20:00, 0.0, None,28
10.1, None, None, -18.0,2021-07-11 23:35:00, 0.0, None,28
9.9, None, None, -18.0,2021-07-11 23:50:00, 0.0, None,28
None, 0.6, 8.0, None,2021-07-12 00:00:00, None, 17.1,28
9.9, None, None, -18.0,2021-07-12 00:05:00, 0.0, None,28
10.0, None, None, -18.0,2021-07-12 00:20:00, 0.0, None,28
9.7, None, None, -18.0,2021-07-12 00:35:00, 0.0, None,28
9.8, None, None, -18.0,2021-07-12 00:50:00, 0.0, None,28
9.0, None, None, -18.0,2021-07-12 01:05:00, 0.0, None,28
9.1, None, None, -18.0,2021-07-12 01:20:00, 0.0, None,28
9.1, None, None, -18.0,2021-07-12 01:35:00, 0.0, None,28
9.3, None, None, -18.0,2021-07-12 01:50:00, 0.0, None,28
8.8, None, None, -18.0,2021-07-12 02:05:00, 0.0, None,28
8.8, None, None, -18.0,2021-07-12 02:20:00, 0.0, None,28
9.2, None, None, -18.0,2021-07-12 02:35:00, 0.0, None,28
9.2, None, None, -18.0,2021-07-12 02:50:00, 0.0, None,28
8.9, None, None, -18.0,2021-07-12 03:05:00, 0.0, None,28
8.5, None, None, -18.0,2021-07-12 03:20:00, 0.0, None,28
8.4, None, None, -18.0,2021-07-12 03:35:00, 0.0, None,28
8.4, None, None, -18.0,2021-07-12 03:50:00, 0.0, None,28
8.0, None, None, -18.0,2021-07-12 04:05:00, 0.0, None,28
8.4, None, None, -18.0,2021-07-12 04:20:00, 0.0, None,28
8.2, None, None, -18.0,2021-07-12 04:35:00, 0.0, None,28
8.3, None, None, -18.0,2021-07-12 04:50:00, 0.0, None,28
8.4, None, None, -18.0,2021-07-12 05:05:00, 0.0, None,28
8.3, None, None, -18.0,2021-07-12 05:20:00, 0.0, None,28
8.5, None, None, -18.0,2021-07-12 05:35:00, 0.0, None,28
9.3, None, None, -18.0,2021-07-12 05:50:00, 0.0, None,28
10.4, None, None, -18.0,2021-07-12 06:05:00, 0.0, None,28
10.5, None, None, -18.0,2021-07-12 06:20:00, 0.0, None,28
10.5, None, None, -18.0,2021-07-12 06:35:00, 0.0, None,28
11.2, None, None, -18.0,2021-07-12 06:50:00, 0.0, None,28
11.8, None, None, -18.0,2021-07-12 07:05:00, 0.0, None,28
12.2, None, None, -18.0,2021-07-12 07:20:00, 0.0, None,28
12.6, None, None, -18.0,2021-07-12 07:35:00, 0.0, None,28
12.9, None, None, -18.0,2021-07-12 07:50:00, 0.0, None,28
13.4, None, None, -18.0,2021-07-12 08:05:00, 0.0, None,28
13.5, None, None, -17.0,2021-07-12 08:20:00, 0.0, None,28
13.9, None, None, -17.0,2021-07-12 08:35:00, 0.0, None,28
14.3, None, None, -17.0,2021-07-12 08:50:00, 0.0, None,28
14.4, None, None, -17.0,2021-07-12 09:05:00, 0.0, None,28
14.8, None, None, -17.0,2021-07-12 09:20:00, 0.0, None,28
14.6, None, None, -17.0,2021-07-12 09:35:00, 0.0, None,28
14.4, None, None, -17.0,2021-07-12 09:50:00, 0.0, None,28
14.5, None, None, -17.0,2021-07-12 10:05:00, 0.0, None,28
14.1, None, None, -16.0,2021-07-12 10:20:00, 0.0, None,28
14.8, None, None, -17.0,2021-07-12 10:35:00, 0.0, None,28
14.9, None, None, -17.0,2021-07-12 10:50:00, 0.0, None,28
15.4, None, None, -17.0,2021-07-12 11:05:00, 0.0, None,28
15.3, None, None, -17.0,2021-07-12 11:20:00, 0.0, None,28
16.9, None, None, -17.0,2021-07-12 11:35:00, 0.0, None,28
15.9, None, None, -16.0,2021-07-12 11:50:00, 0.0, None,28
16.6, None, None, -17.0,2021-07-12 12:05:00, 0.0, None,28
16.6, None, None, -17.0,2021-07-12 12:20:00, 0.0, None,28
16.7, None, None, -17.0,2021-07-12 12:35:00, 0.0, None,28
17.0, None, None, -17.0,2021-07-12 12:50:00, 0.0, None,28
16.9, None, None, -17.0,2021-07-12 13:05:00, 0.0, None,28
17.1, None, None, -17.0,2021-07-12 13:20:00, 0.0, None,28
17.0, None, None, -17.0,2021-07-12 13:35:00, 0.0, None,28
16.8, None, None, -17.0,2021-07-12 13:50:00, 0.0, None,28
16.9, None, None, -17.0,2021-07-12 14:05:00, 0.0, None,28
16.6, None, None, -17.0,2021-07-12 14:20:00, 0.0, None,28
16.5, None, None, -17.0,2021-07-12 14:35:00, 0.0, None,28
16.4, None, None, -17.0,2021-07-12 14:50:00, 0.0, None,28
16.1, None, None, -17.0,2021-07-12 15:05:00, 0.0, None,28
16.2, None, None, -17.0,2021-07-12 15:20:00, 0.0, None,28
15.6, None, None, -17.0,2021-07-12 15:35:00, 0.0, None,28
15.4, None, None, -17.0,2021-07-12 15:50:00, 0.0, None,28
15.3, None, None, -17.0,2021-07-12 16:05:00, 0.0, None,28
15.0, None, None, -17.0,2021-07-12 16:20:00, 0.0, None,28
14.7, None, None, -17.0,2021-07-12 16:35:00, 0.0, None,28
15.2, None, None, -17.0,2021-07-12 16:50:00, 0.0, None,28
15.4, None, None, -17.0,2021-07-12 17:05:00, 0.0, None,28
15.6, None, None, -17.0,2021-07-12 17:20:00, 0.0, None,28
16.1, None, None, -17.0,2021-07-12 17:35:00, 0.0, None,28
16.1, None, None, -17.0,2021-07-12 17:50:00, 0.0, None,28
16.0, None, None, -17.0,2021-07-12 18:05:00, 0.0, None,28
16.2, None, None, -17.0,2021-07-12 18:20:00, 0.0, None,28
