RelativeHumidity,AirTemperature,time,Rain,week_of_year
94.0,10.7,2020-10-04 01:30:00,0.0,40
92.0,10.9,2020-10-04 01:45:00,0.0,40
91.0,10.9,2020-10-04 02:00:00,0.0,40
96.0,10.7,2020-10-04 02:15:00,0.0,40
98.0,10.8,2020-10-04 02:30:00,0.0,40
99.0,10.8,2020-10-04 02:45:00,0.0,40
97.0,10.6,2020-10-04 03:00:00,0.0,40
96.0,10.5,2020-10-04 03:15:00,0.0,40
94.0,11.0,2020-10-04 03:30:00,0.0,40
97.0,11.0,2020-10-04 03:45:00,0.0,40
98.0,11.1,2020-10-04 04:00:00,0.0,40
99.0,11.4,2020-10-04 04:15:00,0.0,40
99.0,11.5,2020-10-04 04:30:00,0.0,40
97.0,11.5,2020-10-04 04:45:00,0.0,40
91.0,11.5,2020-10-04 05:00:00,0.0,40
91.0,11.4,2020-10-04 05:15:00,0.0,40
90.0,11.1,2020-10-04 05:30:00,0.0,40
91.0,10.9,2020-10-04 05:45:00,0.0,40
91.0,10.8,2020-10-04 06:00:00,0.0,40
91.0,10.7,2020-10-04 06:15:00,0.0,40
92.0,10.5,2020-10-04 06:30:00,0.0,40
91.0,10.5,2020-10-04 06:45:00,0.0,40
89.0,10.7,2020-10-04 07:00:00,0.0,40
87.0,10.9,2020-10-04 07:15:00,0.0,40
86.0,11.3,2020-10-04 07:30:00,0.0,40
87.0,11.4,2020-10-04 07:45:00,0.0,40
88.0,11.4,2020-10-04 08:00:00,0.0,40
87.0,11.7,2020-10-04 08:15:00,0.0,40
88.0,11.8,2020-10-04 08:30:00,0.0,40
86.0,11.9,2020-10-04 08:45:00,0.0,40
87.0,11.9,2020-10-04 09:00:00,0.0,40
86.0,12.0,2020-10-04 09:15:00,0.0,40
85.0,12.3,2020-10-04 09:30:00,0.0,40
86.0,12.8,2020-10-04 09:45:00,0.0,40
84.0,13.1,2020-10-04 10:00:00,0.0,40
82.0,13.8,2020-10-04 10:15:00,0.0,40
81.0,14.5,2020-10-04 10:30:00,0.0,40
84.0,14.3,2020-10-04 10:45:00,0.0,40
82.0,14.5,2020-10-04 11:00:00,0.0,40
82.0,14.6,2020-10-04 11:15:00,0.0,40
80.0,15.1,2020-10-04 11:30:00,0.0,40
78.0,15.4,2020-10-04 11:45:00,0.0,40
77.0,15.7,2020-10-04 12:00:00,0.0,40
73.0,16.4,2020-10-04 12:15:00,0.0,40
73.0,16.2,2020-10-04 12:30:00,0.0,40
74.0,16.2,2020-10-04 12:45:00,0.0,40
74.0,16.6,2020-10-04 13:00:00,0.0,40
75.0,16.4,2020-10-04 13:15:00,0.0,40
78.0,16.0,2020-10-04 13:30:00,0.0,40
78.0,15.9,2020-10-04 13:45:00,0.0,40
80.0,15.4,2020-10-04 14:00:00,0.0,40
80.0,15.1,2020-10-04 14:15:00,0.0,40
83.0,14.4,2020-10-04 14:30:00,0.0,40
82.0,14.5,2020-10-04 14:45:00,0.0,40
82.0,14.8,2020-10-04 15:00:00,0.0,40
