station_observations
AirTemp, ONE_DAY_PRECIPITATION, MIN_TEMP, Snow_WE, time, SNOW_ON_THE_GROUND, MAX_TEMP
None, 0.0, 0.3, None, 2017-09-03 00:00:00, None, 19.1
None, 0.0, 1.2, None, 2017-09-04 00:00:00, None, 23.7
None, 0.0, 4.2, None, 2017-09-05 00:00:00, None, 26.4
None, 0.0, 5.3, None, 2017-09-06 00:00:00, None, 28.2
None, 0.0, 5.7, None, 2017-09-07 00:00:00, None, 19.8
None, 0.0, 1.4, None, 2017-09-08 00:00:00, None, 19.7
None, 0.0, 3.5, None, 2017-09-09 00:00:00, None, 14.6
None, 8.0, 2.5, None, 2017-09-10 00:00:00, None, 11.6
None, 5.0, 2.1, None, 2017-09-11 00:00:00, None, 12.2
None, 1.0, -1.6, None, 2017-09-12 00:00:00, None, 13.4
None, 0.0, -2.4, None, 2017-09-13 00:00:00, None, 15.2
None, 0.0, -2.7, None, 2017-09-14 00:00:00, None, 18.0
None, 0.0, -2.2, None, 2017-09-15 00:00:00, None, 18.2
None, 0.0, -1.5, None, 2017-09-16 00:00:00, None, 17.2
None, 2.0, 0.6, None, 2017-09-17 00:00:00, None, 11.8
None, 10.0, 2.7, None, 2017-09-18 00:00:00, None, 6.2
None, 12.0, 0.8, None, 2017-09-19 00:00:00, None, 5.7
None, 0.0, -0.4, None, 2017-09-20 00:00:00, None, 11.9
None, 0.0, -3.0, None, 2017-09-21 00:00:00, None, 11.1
None, 0.0, -0.9, None, 2017-09-22 00:00:00, None, 5.7
None, 0.0, 1.6, None, 2017-09-23 00:00:00, None, 11.9
None, 1.0, 6.3, None, 2017-09-24 00:00:00, None, 13.4
None, 0.0, 4.8, None, 2017-09-25 00:00:00, None, 14.8
None, 1.0, 2.2, None, 2017-09-26 00:00:00, None, 12.3
None, 0.0, 5.3, None, 2017-09-27 00:00:00, None, 18.0
None, 0.0, 1.8, None, 2017-09-28 00:00:00, None, 19.0
None, 5.0, 6.0, None, 2017-09-29 00:00:00, None, 11.1
None, 1.0, 4.3, None, 2017-09-30 00:00:00, None, 9.1
None, 0.0, -4.0, None, 2017-10-01 00:00:00, None, 6.4
None, 0.0, -7.2, None, 2017-10-02 00:00:00, None, 9.0
None, 0.0, -6.0, None, 2017-10-03 00:00:00, None, 10.3
None, 0.0, -2.5, None, 2017-10-04 00:00:00, None, 14.8
None, 1.0, -3.9, None, 2017-10-05 00:00:00, None, 13.0
None, 3.0, 1.9, None, 2017-10-06 00:00:00, None, 7.1
None, 0.0, 0.6, None, 2017-10-07 00:00:00, None, 7.2
None, 0.0, -2.4, None, 2017-10-08 00:00:00, None, 7.0
None, 1.0, -3.3, None, 2017-10-09 00:00:00, None, 7.4
None, 0.0, -4.3, None, 2017-10-10 00:00:00, None, 5.5
None, 1.0, -6.5, None, 2017-10-11 00:00:00, None, 5.2
None, 0.0, -3.2, None, 2017-10-12 00:00:00, None, 3.2
None, 1.0, -3.1, None, 2017-10-13 00:00:00, None, 2.3
None, 1.0, -1.2, None, 2017-10-14 00:00:00, None, 5.9
None, 2.0, -0.7, None, 2017-10-15 00:00:00, None, 8.6
None, 2.0, -1.5, None, 2017-10-16 00:00:00, None, 2.6
None, 0.0, -2.4, None, 2017-10-17 00:00:00, None, 2.7
None, 1.0, -3.3, None, 2017-10-18 00:00:00, None, 0.3
None, 1.0, -1.3, None, 2017-10-19 00:00:00, None, 2.6
None, 1.0, -4.3, None, 2017-10-20 00:00:00, None, 3.7
None, 4.0, -7.8, None, 2017-10-21 00:00:00, None, -1.3
None, 1.0, -2.1, None, 2017-10-22 00:00:00, None, 3.0
None, 11.0, -1.3, None, 2017-10-23 00:00:00, None, 4.4
None, 16.0, -0.4, None, 2017-10-24 00:00:00, None, 5.1
None, 4.0, -2.8, None, 2017-10-25 00:00:00, None, 2.8
None, 0.0, -3.7, None, 2017-10-26 00:00:00, None, 4.0
None, 0.0, -0.6, None, 2017-10-27 00:00:00, None, 11.7
None, 0.0, -3.5, None, 2017-10-28 00:00:00, None, 9.1
None, 0.0, -7.9, None, 2017-10-29 00:00:00, None, 2.9
None, 0.0, -8.4, None, 2017-10-30 00:00:00, None, 9.1
None, 0.0, -0.8, None, 2017-10-31 00:00:00, None, 9.6
None, 0.0, -13.5, None, 2017-11-01 00:00:00, None, -0.7
None, 0.0, -17.3, None, 2017-11-02 00:00:00, None, -7.0
None, 0.7, -19.9, None, 2017-11-03 00:00:00, None, -7.7
None, 0.0, -12.9, None, 2017-11-04 00:00:00, None, -5.9
None, 0.0, -16.8, None, 2017-11-05 00:00:00, None, -6.6
None, 0.0, -23.6, None, 2017-11-06 00:00:00, None, -10.0
None, 0.8, -13.8, None, 2017-11-07 00:00:00, None, -6.1
None, 0.0, -18.8, None, 2017-11-08 00:00:00, None, -7.6
None, 0.0, -18.3, None, 2017-11-09 00:00:00, None, -10.1
None, 0.0, -11.4, None, 2017-11-10 00:00:00, None, -6.1
None, 0.8, -10.2, None, 2017-11-11 00:00:00, None, -4.5
None, 2.1, -4.7, None, 2017-11-12 00:00:00, None, -4.0
None, 0.3, -7.9, None, 2017-11-13 00:00:00, None, -6.3
None, 3.8, -10.2, None, 2017-11-14 00:00:00, None, -7.4
None, 7.9, -15.6, None, 2017-11-15 00:00:00, None, -9.5
None, 0.0, -19.3, None, 2017-11-16 00:00:00, None, -13.1
None, 1.1, -23.2, None, 2017-11-17 00:00:00, None, -13.5
None, 3.1, -14.2, None, 2017-11-18 00:00:00, None, -7.6
None, 7.2, -19.2, None, 2017-11-19 00:00:00, None, -2.9
None, 0.0, -19.2, None, 2017-11-20 00:00:00, None, -10.0
None, 0.0, -11.9, None, 2017-11-21 00:00:00, None, -8.9
None, 24.2, -10.5, None, 2017-11-22 00:00:00, None, -5.0
None, 3.5, -6.9, None, 2017-11-23 00:00:00, None, 0.6
None, 1.8, -7.4, None, 2017-11-24 00:00:00, None, -0.7
None, 0.1, -9.7, None, 2017-11-25 00:00:00, None, -6.3
None, 8.9, -10.9, None, 2017-11-26 00:00:00, None, -5.4
None, 3.3, -12.0, None, 2017-11-27 00:00:00, None, -3.5
None, 4.5, -10.7, None, 2017-11-28 00:00:00, None, -3.6
None, 0.5, -7.7, None, 2017-11-29 00:00:00, None, -1.1
None, 0.9, -11.3, None, 2017-11-30 00:00:00, None, -3.2
None, 6.8, -10.4, None, 2017-12-01 00:00:00, None, -2.8
None, 0.0, -19.6, None, 2017-12-02 00:00:00, None, -8.1
None, 0.0, -22.3, None, 2017-12-03 00:00:00, None, -12.8
None, 0.4, -14.4, None, 2017-12-04 00:00:00, None, -4.1
None, 0.0, -15.2, None, 2017-12-05 00:00:00, None, -8.2
None, 0.1, -16.1, None, 2017-12-06 00:00:00, None, -7.6
None, 0.4, -10.9, None, 2017-12-07 00:00:00, None, -7.9
None, 0.1, -9.4, None, 2017-12-08 00:00:00, None, -8.2
None, 3.4, -10.1, None, 2017-12-09 00:00:00, None, -6.4
None, 0.7, -13.3, None, 2017-12-10 00:00:00, None, -6.2
None, 0.0, -12.2, None, 2017-12-11 00:00:00, None, -5.4
None, 0.0, -10.6, None, 2017-12-12 00:00:00, None, -6.8
None, 0.0, -13.5, None, 2017-12-13 00:00:00, None, -5.1
None, 1.7, -5.7, None, 2017-12-14 00:00:00, None, -3.1
None, 5.1, -13.6, None, 2017-12-15 00:00:00, None, -1.2
None, 2.9, -17.2, None, 2017-12-16 00:00:00, None, -4.5
None, 1.3, -16.4, None, 2017-12-17 00:00:00, None, -4.7
None, 0.0, -20.3, None, 2017-12-18 00:00:00, None, -11.5
None, 0.0, -25.9, None, 2017-12-19 00:00:00, None, -14.0
None, 0.0, -27.4, None, 2017-12-20 00:00:00, None, -20.9
None, 0.3, -26.7, None, 2017-12-21 00:00:00, None, -16.0
None, 0.0, -30.6, None, 2017-12-22 00:00:00, None, -22.8
None, 0.0, -32.0, None, 2017-12-23 00:00:00, None, -23.8
None, 0.0, -31.1, None, 2017-12-24 00:00:00, None, -20.5
None, 0.0, -33.1, None, 2017-12-25 00:00:00, None, -25.9
None, 0.4, -30.1, None, 2017-12-26 00:00:00, None, -21.4
None, 0.0, -34.5, None, 2017-12-27 00:00:00, None, -24.3
None, 0.0, -38.0, None, 2017-12-28 00:00:00, None, -29.5
None, 0.0, -41.0, None, 2017-12-29 00:00:00, None, -33.3
None, 0.0, -41.8, None, 2017-12-30 00:00:00, None, -27.2
None, 0.0, -39.0, None, 2017-12-31 00:00:00, None, -30.7
