station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, 283.0, None, None, None, None, None, None, None, None, None, 2012-04-27 16:00:00, None
None, 302.0, None, None, None, None, None, None, None, None, None, 2012-04-28 16:00:00, None
None, 305.0, None, None, None, None, None, None, None, None, None, 2012-04-29 16:00:00, None
None, 305.0, None, None, None, None, None, None, None, None, None, 2012-04-30 16:00:00, None
None, 311.0, None, None, None, None, None, None, None, None, None, 2012-05-01 16:00:00, None
None, 314.0, None, None, None, None, None, None, None, None, None, 2012-05-02 16:00:00, None
None, 311.0, None, None, None, None, None, None, None, None, None, 2012-05-03 16:00:00, None
None, 314.0, None, None, None, None, None, None, None, None, None, 2012-05-04 16:00:00, None
None, 314.0, None, None, None, None, None, None, None, None, None, 2012-05-05 16:00:00, None
None, 314.0, None, None, None, None, None, None, None, None, None, 2012-05-06 16:00:00, None
None, 311.0, None, None, None, None, None, None, None, None, None, 2012-05-07 16:00:00, None
None, 314.0, None, None, None, None, None, None, None, None, None, 2012-05-08 16:00:00, None
None, 314.0, None, None, None, None, None, None, None, None, None, 2012-05-09 16:00:00, None
None, 314.0, None, None, None, None, None, None, None, None, None, 2012-05-10 16:00:00, None
None, 320.0, None, None, None, None, None, None, None, None, None, 2012-05-11 16:00:00, None
None, 320.0, None, None, None, None, None, None, None, None, None, 2012-05-12 16:00:00, None
None, 326.0, None, None, None, None, None, None, None, None, None, 2012-05-13 16:00:00, None
None, 326.0, None, None, None, None, None, None, None, None, None, 2012-05-14 16:00:00, None
None, 329.0, None, None, None, None, None, None, None, None, None, 2012-05-15 16:00:00, None
None, 326.0, None, None, None, None, None, None, None, None, None, 2012-05-16 16:00:00, None
None, 326.0, None, None, None, None, None, None, None, None, None, 2012-05-17 16:00:00, None
None, 320.0, None, None, None, None, None, None, None, None, None, 2012-05-18 16:00:00, None
None, 317.0, None, None, None, None, None, None, None, None, None, 2012-05-19 16:00:00, None
None, 317.0, None, None, None, None, None, None, None, None, None, 2012-05-20 16:00:00, None
None, 317.0, None, None, None, None, None, None, None, None, None, 2012-05-21 16:00:00, None
None, 320.0, None, None, None, None, None, None, None, None, None, 2012-05-22 16:00:00, None
None, 323.0, None, None, None, None, None, None, None, None, None, 2012-05-23 16:00:00, None
None, 326.0, None, None, None, None, None, None, None, None, None, 2012-05-24 16:00:00, None
None, 329.0, None, None, None, None, None, None, None, None, None, 2012-05-25 16:00:00, None
None, 326.0, None, None, None, None, None, None, None, None, None, 2012-05-26 16:00:00, None
None, 329.0, None, None, None, None, None, None, None, None, None, 2012-05-27 16:00:00, None
None, 329.0, None, None, None, None, None, None, None, None, None, 2012-05-28 16:00:00, None
None, 329.0, None, None, None, None, None, None, None, None, None, 2012-05-29 16:00:00, None
None, 335.0, None, None, None, None, None, None, None, None, None, 2012-05-30 16:00:00, None
None, 338.0, None, None, None, None, None, None, None, None, None, 2012-05-31 16:00:00, None
None, 332.0, None, None, None, None, None, None, None, None, None, 2012-06-01 16:00:00, None
None, 338.0, None, None, None, None, None, None, None, None, None, 2012-06-02 16:00:00, None
None, 344.0, None, None, None, None, None, None, None, None, None, 2012-06-03 16:00:00, None
None, 341.0, None, None, None, None, None, None, None, None, None, 2012-06-04 16:00:00, None
None, 338.0, None, None, None, None, None, None, None, None, None, 2012-06-05 16:00:00, None
None, 335.0, None, None, None, None, None, None, None, None, None, 2012-06-06 16:00:00, None
None, 338.0, None, None, None, None, None, None, None, None, None, 2012-06-07 16:00:00, None
None, 335.0, None, None, None, None, None, None, None, None, None, 2012-06-08 16:00:00, None
None, 335.0, None, None, None, None, None, None, None, None, None, 2012-06-09 16:00:00, None
None, 317.0, None, None, None, None, None, None, None, None, None, 2012-06-10 16:00:00, None
None, 311.0, None, None, None, None, None, None, None, None, None, 2012-06-11 16:00:00, None
None, 293.0, None, None, None, None, None, None, None, None, None, 2012-06-12 16:00:00, None
None, 290.0, None, None, None, None, None, None, None, None, None, 2012-06-13 16:00:00, None
None, 277.0, None, None, None, None, None, None, None, None, None, 2012-06-14 16:00:00, None
None, 265.0, None, None, None, None, None, None, None, None, None, 2012-06-15 16:00:00, None
None, 253.0, None, None, None, None, None, None, None, None, None, 2012-06-16 16:00:00, None
None, 229.0, None, None, None, None, None, None, None, None, None, 2012-06-17 16:00:00, None
None, 216.0, None, None, None, None, None, None, None, None, None, 2012-06-18 16:00:00, None
