station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
150.4, 10.2, None, None, None, 2020-05-03 10:00:00, 69.1, None
181.1, 9.9, None, None, None, 2020-05-03 11:00:00, 69.0, None
219.6, 10.4, None, None, None, 2020-05-03 12:00:00, 67.4, None
197.4, 10.5, None, None, None, 2020-05-03 13:00:00, 66.4, None
208.3, 10.5, None, None, None, 2020-05-03 14:00:00, 60.5, None
213.2, 10.6, None, None, None, 2020-05-03 15:00:00, 63.4, None
205.0, 11.3, None, None, None, 2020-05-03 16:00:00, 59.0, None
187.2, 11.3, None, None, None, 2020-05-03 17:00:00, 57.5, None
185.2, 10.9, None, None, None, 2020-05-03 18:00:00, 58.1, None
203.8, 10.4, None, None, None, 2020-05-03 19:00:00, 61.6, None
227.0, 9.9, None, None, None, 2020-05-03 20:00:00, 67.5, None
245.4, 9.5, None, None, None, 2020-05-03 21:00:00, 71.2, None
313.2, 9.3, None, None, None, 2020-05-03 22:00:00, 72.7, None
345.3, 9.0, None, None, None, 2020-05-03 23:00:00, 73.3, None
100.2, 8.2, None, None, None, 2020-05-04 00:00:00, 76.0, None
54.9, 7.4, None, None, None, 2020-05-04 01:00:00, 83.3, None
49.6, 7.1, None, None, None, 2020-05-04 02:00:00, 88.2, None
31.9, 6.3, None, None, None, 2020-05-04 03:00:00, 90.2, None
24.1, 6.0, None, None, None, 2020-05-04 04:00:00, 89.9, None
25.7, 6.1, None, None, None, 2020-05-04 05:00:00, 88.7, None
24.5, 6.2, None, None, None, 2020-05-04 06:00:00, 88.1, None
44.6, 7.6, None, None, None, 2020-05-04 07:00:00, 82.6, None
40.0, 8.2, None, None, None, 2020-05-04 08:00:00, 79.0, None
42.5, 8.9, None, None, None, 2020-05-04 09:00:00, 75.5, None
28.3, 9.2, None, None, None, 2020-05-04 10:00:00, 73.2, None
23.8, 9.9, None, None, None, 2020-05-04 11:00:00, 68.6, None
23.0, 10.1, None, None, None, 2020-05-04 12:00:00, 67.4, None
17.5, 10.7, None, None, None, 2020-05-04 13:00:00, 64.7, None
6.5, 12.0, None, None, None, 2020-05-04 14:00:00, 55.9, None
28.3, 13.2, None, None, None, 2020-05-04 15:00:00, 47.8, None
20.6, 13.9, None, None, None, 2020-05-04 16:00:00, 45.6, None
75.0, 14.7, None, None, None, 2020-05-04 17:00:00, 42.7, None
217.9, 12.5, None, None, None, 2020-05-04 18:00:00, 59.6, None
238.4, 11.8, None, None, None, 2020-05-04 19:00:00, 63.7, None
276.2, 12.5, None, None, None, 2020-05-04 20:00:00, 58.6, None
239.5, 12.4, None, None, None, 2020-05-04 21:00:00, 60.0, None
83.9, 11.6, None, None, None, 2020-05-04 22:00:00, 67.0, None
120.8, 10.7, None, None, None, 2020-05-04 23:00:00, 74.5, None
353.8, 10.2, None, None, None, 2020-05-05 00:00:00, 78.3, None
90.9, 9.6, None, None, None, 2020-05-05 01:00:00, 80.9, None
101.0, 9.0, None, None, None, 2020-05-05 02:00:00, 84.6, None
337.1, 8.4, None, None, None, 2020-05-05 03:00:00, 86.5, None
340.1, 8.1, None, None, None, 2020-05-05 04:00:00, 86.4, None
350.8, 7.8, None, None, None, 2020-05-05 05:00:00, 87.0, None
16.8, 7.7, None, None, None, 2020-05-05 06:00:00, 86.8, None
355.0, 7.9, None, None, None, 2020-05-05 07:00:00, 85.7, None
3.5, 10.4, None, None, None, 2020-05-05 08:00:00, 69.5, None
17.4, 11.7, None, None, None, 2020-05-05 09:00:00, 65.0, None
29.1, 12.2, None, None, None, 2020-05-05 10:00:00, 65.2, None
28.1, 12.9, None, None, None, 2020-05-05 11:00:00, 64.6, None
36.5, 14.2, None, None, None, 2020-05-05 12:00:00, 61.1, None
31.0, 15.1, None, None, None, 2020-05-05 13:00:00, 57.2, None
34.3, 15.7, None, None, None, 2020-05-05 14:00:00, 55.6, None
24.2, 16.9, None, None, None, 2020-05-05 15:00:00, 51.7, None
56.6, 17.9, None, None, None, 2020-05-05 16:00:00, 47.9, None
221.0, 16.0, None, None, None, 2020-05-05 17:00:00, 58.5, None
222.2, 15.2, None, None, None, 2020-05-05 18:00:00, 59.2, None
211.5, 16.1, None, None, None, 2020-05-05 19:00:00, 54.5, None
233.1, 14.4, None, None, None, 2020-05-05 20:00:00, 62.7, None
277.7, 15.1, None, None, None, 2020-05-05 21:00:00, 59.1, None
282.9, 14.3, None, None, None, 2020-05-05 22:00:00, 62.9, None
278.0, 13.3, None, None, None, 2020-05-05 23:00:00, 57.4, None
281.4, 12.8, None, None, None, 2020-05-06 00:00:00, 51.7, None
280.5, 12.6, None, None, None, 2020-05-06 01:00:00, 50.8, None
275.4, 11.2, None, None, None, 2020-05-06 02:00:00, 62.6, None
268.6, 9.7, None, None, None, 2020-05-06 03:00:00, 72.1, None
244.8, 9.2, None, None, None, 2020-05-06 04:00:00, 78.4, None
251.9, 9.1, None, None, None, 2020-05-06 05:00:00, 79.2, None
255.5, 9.2, None, None, None, 2020-05-06 06:00:00, 78.7, None
263.7, 9.4, None, None, None, 2020-05-06 07:00:00, 77.1, None
