ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
,,,,2019-07-25 21:00:00,,,30,358.0, None, None,0.0, None,3.9, None,19.9, None, None, None,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 22:00:00,,,30,253.0, None, None,0.0, None,3.4, None,19.7, None, None, None,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-25 23:00:00,,,30,343.0, None, None,0.0, None,3.1, None,17.5, None, None, None,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 00:00:00,,,30,32.0, None, None,0.0, None,3.9, None,17.3, None, None, None,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 01:00:00,,,30,267.0, None, None,0.0, None,3.2, None,16.2, None, None, None,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 02:00:00,,,30,269.0, None, None,0.0, None,2.6, None,15.6, None, None, None,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 03:00:00,,,30,284.0, None, None,0.0, None,3.4, None,14.8, None, None, None,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 04:00:00,,,30,288.0, None, None,0.0, None,3.8, None,14.5, None, None, None,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 05:00:00,,,30,298.0, None, None,0.0, None,1.8, None,14.5, None, None, None,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 06:00:00,,,30,104.0, None, None,0.0, None,3.7, None,18.7, None, None, None,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 07:00:00,,,30,135.0, None, None,0.0, None,3.9, None,21.2, None, None, None,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 08:00:00,,,30,128.0, None, None,0.0, None,6.7, None,22.6, None, None, None,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 09:00:00,,,30,138.0, None, None,0.0, None,4.9, None,23.3, None, None, None,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 10:00:00,,,30,148.0, None, None,0.0, None,5.6, None,24.3, None, None, None,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 11:00:00,,,30,146.0, None, None,0.0, None,6.7, None,26.4, None, None, None,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 12:00:00,,,30,128.0, None, None,0.0, None,6.6, None,28.4, None, None, None,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 13:00:00,,,30,151.0, None, None,0.0, None,5.2, None,29.9, None, None, None,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,
