station_observations
CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
-5.335, None, None, None, 13.41, 26.49, 243.6, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 15:00:00, None, None, None, None
-5.325, None, None, None, 13.62, 23.91, 245.2, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 16:00:00, None, None, None, None
-5.266, None, None, None, 13.82, 22.27, 250.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 17:00:00, None, None, None, None
-5.19, None, None, None, 13.1, 22.69, 252.9, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 18:00:00, None, None, None, None
-5.17, None, None, None, 15.09, 21.77, 275.0, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 19:00:00, None, None, None, None
-4.758, None, None, None, 16.37, 17.94, 269.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 20:00:00, None, None, None, None
-4.769, None, None, None, 15.81, 15.76, 271.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 21:00:00, None, None, None, None
-4.692, None, None, None, 17.93, 13.71, 260.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 22:00:00, None, None, None, None
-4.606, None, None, None, 16.26, 17.77, 265.7, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 23:00:00, None, None, None, None
-4.424, None, None, None, 17.01, 20.89, 273.3, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 00:00:00, None, None, None, None
-4.004, None, None, None, 18.82, 24.8, 274.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 01:00:00, None, None, None, None
-3.375, None, None, None, 28.24, 11.59, 307.8, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 02:00:00, None, None, None, None
-4.129, None, None, None, 22.62, 18.1, 294.9, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 03:00:00, None, None, None, None
-4.137, None, None, None, 19.73, 25.01, 283.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 04:00:00, None, None, None, None
-4.195, None, None, None, 15.29, 29.86, 278.4, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 05:00:00, None, None, None, None
-4.711, None, None, None, 17.33, 25.05, 289.3, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 06:00:00, None, None, None, None
-4.664, None, None, None, 15.61, 23.75, 284.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 07:00:00, None, None, None, None
-4.826, None, None, None, 19.62, 21.45, 286.2, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 08:00:00, None, None, None, None
-4.873, None, None, None, 16.87, 18.9, 280.3, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 09:00:00, None, None, None, None
-5.066, None, None, None, 20.95, 19.38, 275.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 10:00:00, None, None, None, None
-4.32, None, None, None, 30.45, 8.99, 284.2, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 11:00:00, None, None, None, None
-3.909, None, None, None, 16.93, 17.77, 269.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 12:00:00, None, None, None, None
-4.34, None, None, None, 20.98, 20.42, 278.7, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 13:00:00, None, None, None, None
-4.294, None, None, None, 14.61, 20.53, 273.3, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 14:00:00, None, None, None, None
-5.088, None, None, None, 15.97, 19.36, 275.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 15:00:00, None, None, None, None
-5.52, None, None, None, 15.27, 19.91, 267.3, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 16:00:00, None, None, None, None
-5.644, None, None, None, 12.55, 16.51, 262.0, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 17:00:00, None, None, None, None
-5.508, None, None, None, 16.15, 17.07, 255.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 18:00:00, None, None, None, None
-5.431, None, None, None, 11.64, 14.95, 251.0, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 19:00:00, None, None, None, None
-5.469, None, None, None, 12.81, 23.18, 262.0, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 20:00:00, None, None, None, None
-5.991, None, None, None, 13.85, 13.57, 256.4, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 21:00:00, None, None, None, None
-5.682, None, None, None, 9.85, 12.75, 243.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 22:00:00, None, None, None, None
-5.566, None, None, None, 9.45, 14.64, 251.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 23:00:00, None, None, None, None
-6.002, None, None, None, 11.01, 4.274, 244.4, None, None, None, None, None, None, None, None, None, None, None, 2012-01-09 00:00:00, None, None, None, None
-5.837, None, None, None, 11.92, 5.068, 237.6, None, None, None, None, None, None, None, None, None, None, None, 2012-01-09 01:00:00, None, None, None, None
-6.204, None, None, None, 17.47, 3.006, 43.93, None, None, None, None, None, None, None, None, None, None, None, 2012-01-09 02:00:00, None, None, None, None
-6.731, None, None, None, 15.56, 8.2, 43.43, None, None, None, None, None, None, None, None, None, None, None, 2012-01-09 03:00:00, None, None, None, None
