pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,-12.94,60.08, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2018-02-09 17:00:00, None, None, 203.8, None,6
None, None,-14.65,64.26, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-09 18:00:00, None, None, 203.4, None,6
None, None,-15.67,68.22, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-09 19:00:00, None, None, 204.0, None,6
None, None,-15.48,70.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-09 20:00:00, None, None, 203.5, None,6
None, None,-16.03,73.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-09 21:00:00, None, None, 203.9, None,6
None, None,-16.44,67.51, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-09 22:00:00, None, None, 203.3, None,6
None, None,-16.44,72.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-09 23:00:00, None, None, 203.0, None,6
None, None,-16.26,71.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 00:00:00, None, None, 203.4, None,6
None, None,-16.1,66.39, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 01:00:00, None, None, 203.9, None,6
None, None,-15.14,69.79, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-10 02:00:00, None, None, 204.3, None,6
None, None,-13.89,54.46, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 03:00:00, None, None, 204.1, None,6
None, None,-13.71,54.09, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 04:00:00, None, None, 204.5, None,6
None, None,-12.59,54.01, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-10 05:00:00, None, None, 204.1, None,6
None, None,-11.02,44.39, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 06:00:00, None, None, 203.7, None,6
None, None,-10.1,30.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -23.0, None, None, None, None, None,2018-02-10 07:00:00, None, None, 203.7, None,6
None, None,-10.17,31.68, None, None, None, None, None, None, None, None, None, None, None, None, None, -22.0, None, None, None, None, None,2018-02-10 08:00:00, None, None, 203.4, None,6
None, None,-9.12,29.37, None, None, None, None, None, None, None, None, None, None, None, None, None, -22.0, None, None, None, None, None,2018-02-10 09:00:00, None, None, 203.3, None,6
None, None,-8.58,26.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -23.0, None, None, None, None, None,2018-02-10 10:00:00, None, None, 203.5, None,6
None, None,-7.35,28.14, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-10 11:00:00, None, None, 203.0, None,6
None, None,-4.807,22.58, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-10 12:00:00, None, None, 202.9, None,6
None, None,-5.522,24.18, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-10 13:00:00, None, None, 202.6, None,6
None, None,-5.455,25.62, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 14:00:00, None, None, 203.3, None,6
None, None,-5.319,29.16, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-10 15:00:00, None, None, 202.4, None,6
None, None,-6.396,28.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 16:00:00, None, None, 202.7, None,6
None, None,-7.2,30.64, None, None, None, None, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, None,2018-02-10 17:00:00, None, None, 202.4, None,6
None, None,-7.24,26.21, None, None, None, None, None, None, None, None, None, None, None, None, None, -22.0, None, None, None, None, None,2018-02-10 18:00:00, None, None, 203.0, None,6
None, None,-8.13,29.38, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-10 19:00:00, None, None, 202.4, None,6
None, None,-8.49,32.73, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-10 20:00:00, None, None, 202.4, None,6
None, None,-8.66,33.52, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-10 21:00:00, None, None, 202.1, None,6
None, None,-8.45,29.58, None, None, None, None, None, None, None, None, None, None, None, None, None, -22.0, None, None, None, None, None,2018-02-10 22:00:00, None, None, 202.3, None,6
None, None,-8.56,28.39, None, None, None, None, None, None, None, None, None, None, None, None, None, -22.0, None, None, None, None, None,2018-02-10 23:00:00, None, None, 202.0, None,6
None, None,-8.35,29.13, None, None, None, None, None, None, None, None, None, None, None, None, None, -22.0, None, None, None, None, None,2018-02-11 00:00:00, None, None, 202.0, None,6
None, None,-9.34,32.17, None, None, None, None, None, None, None, None, None, None, None, None, None, -22.0, None, None, None, None, None,2018-02-11 01:00:00, None, None, 201.7, None,6
None, None,-10.09,29.97, None, None, None, None, None, None, None, None, None, None, None, None, None, -23.0, None, None, None, None, None,2018-02-11 02:00:00, None, None, 201.9, None,6
None, None,-10.78,27.56, None, None, None, None, None, None, None, None, None, None, None, None, None, -24.0, None, None, None, None, None,2018-02-11 03:00:00, None, None, 201.5, None,6
None, None,-10.81,27.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -24.0, None, None, None, None, None,2018-02-11 04:00:00, None, None, 201.4, None,6
None, None,-11.71,29.18, None, None, None, None, None, None, None, None, None, None, None, None, None, -25.0, None, None, None, None, None,2018-02-11 05:00:00, None, None, 201.5, None,6
None, None,-12.11,53.53, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-11 06:00:00, None, None, 201.3, None,6
None, None,-11.34,47.76, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None,2018-02-11 07:00:00, None, None, 201.4, None,6
None, None,-11.75,40.95, None, None, None, None, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, None,2018-02-11 08:00:00, None, None, 201.3, None,6
None, None,-10.87,33.01, None, None, None, None, None, None, None, None, None, None, None, None, None, -23.0, None, None, None, None, None,2018-02-11 09:00:00, None, None, 201.1, None,6
